,index,sourceNodeName,targetNodeName,totalCost,isDirect,costs,nodeNames
0,0,Supplier 34967,Customer 31548,925.0,False,"[0.0, 100.0, 170.0, 270.0, 355.0, 455.0, 525.0, 625.0, 725.0, 825.0, 925.0]","['Supplier 34967', 'Ssintship 10235', 'Supplier 61565', 'Internaltransactions 6250', 'Supplier 74318', 'Ssintship 10260', 'Supplier 11790', 'Srintship 2887', 'Retailer 83982', 'Rcextship 1248', 'Customer 31548']"
1,1,Supplier 34967,Customer 31548,930.0,False,"[0.0, 100.0, 170.0, 195.0, 190.0, 290.0, 360.0, 460.0, 530.0, 630.0, 730.0, 830.0, 930.0]","['Supplier 34967', 'Ssintship 10430', 'Supplier 71574', 'Ssintship 10207', 'Supplier 68814', 'Ssintship 4906', 'Supplier 97142', 'Ssintship 10259', 'Supplier 11790', 'Srintship 2887', 'Retailer 83982', 'Rcextship 1248', 'Customer 31548']"
2,2,Supplier 34967,Customer 31548,1009.5,False,"[0.0, 100.0, 170.0, 270.0, 340.0, 397.25, 439.5, 539.5, 609.5, 709.5, 809.5, 909.5, 1009.5]","['Supplier 34967', 'Internaltransactions 3339', 'Supplier 65468', 'Ssintship 10249', 'Supplier 16265', 'Ssintship 10256', 'Supplier 51293', 'Ssintship 10262', 'Supplier 11790', 'Srintship 2887', 'Retailer 83982', 'Rcextship 1248', 'Customer 31548']"
3,3,Supplier 34967,Customer 31548,1009.5,False,"[0.0, 100.0, 170.0, 270.0, 340.0, 397.25, 439.5, 539.5, 609.5, 709.5, 809.5, 909.5, 1009.5]","['Supplier 34967', 'Internaltransactions 3339', 'Supplier 65468', 'Ssintship 10249', 'Supplier 16265', 'Ssintship 10256', 'Supplier 51293', 'Internaltransactions 8970', 'Supplier 11790', 'Srintship 2887', 'Retailer 83982', 'Rcextship 1248', 'Customer 31548']"
